% Altitude (m),CG location (cm),Mach number
15.918,457.84,0.041889
16.059,457.84,0.042069
16.201,457.83,0.042255
16.343,457.83,0.042441
16.486,457.83,0.042627
16.63,457.83,0.042813
16.774,457.83,0.043
16.919,457.83,0.043181
17.065,457.82,0.043363
17.211,457.82,0.043544
17.358,457.82,0.043726
17.505,457.82,0.043908
17.653,457.82,0.0441
17.802,457.82,0.044292
17.951,457.81,0.044484
18.101,457.81,0.044676
18.252,457.81,0.044868
18.403,457.81,0.045057
18.555,457.81,0.045247
18.708,457.8,0.045437
18.861,457.8,0.045627
19.015,457.8,0.045817
19.169,457.8,0.046012
19.324,457.8,0.046206
19.48,457.8,0.0464
19.637,457.79,0.046595
19.794,457.79,0.04679
19.951,457.79,0.046974
20.11,457.79,0.047158
20.269,457.79,0.047342
20.428,457.78,0.047526
20.589,457.78,0.047711
20.75,457.78,0.0479
20.911,457.78,0.04809
21.073,457.78,0.04828
21.236,457.78,0.048469
21.4,457.77,0.048659
21.564,457.77,0.048839
21.729,457.77,0.049019
21.894,457.77,0.049199
22.06,457.77,0.049379
22.227,457.76,0.049559
22.394,457.76,0.049749
22.562,457.76,0.049938
22.731,457.76,0.050128
22.9,457.76,0.050318
23.07,457.76,0.050508
23.241,457.75,0.050702
23.412,457.75,0.050897
23.584,457.75,0.051092
23.757,457.75,0.051286
23.93,457.75,0.051481
24.104,457.75,0.051661
24.278,457.74,0.051841
24.454,457.74,0.052021
24.629,457.74,0.052202
24.806,457.74,0.052383
24.983,457.74,0.052572
25.161,457.73,0.052762
25.339,457.73,0.052951
25.518,457.73,0.053141
25.698,457.73,0.053331
25.878,457.73,0.053529
26.059,457.73,0.053727
26.241,457.72,0.053925
26.423,457.72,0.054123
26.606,457.72,0.054321
26.79,457.72,0.054505
26.974,457.72,0.05469
27.159,457.71,0.054875
27.345,457.71,0.05506
27.531,457.71,0.055245
27.718,457.71,0.055441
27.905,457.71,0.055638
28.093,457.71,0.055835
28.282,457.7,0.056032
28.472,457.7,0.056229
28.662,457.7,0.056425
28.853,457.7,0.056622
29.044,457.7,0.056818
29.236,457.69,0.057015
29.429,457.69,0.057211
29.622,457.69,0.057407
29.816,457.69,0.057603
30.011,457.69,0.057798
30.206,457.69,0.057994
30.402,457.68,0.05819
30.599,457.68,0.05839
30.797,457.68,0.058589
30.995,457.68,0.058788
31.193,457.68,0.058988
31.393,457.67,0.059187
