% Altitude (m),CG location (cm),Mach number
5635,448.13,1.2209
5638.8,448.13,1.2216
5642.7,448.12,1.2222
5646.6,448.12,1.2229
5650.5,448.11,1.2235
5654.4,448.11,1.2242
5658.3,448.1,1.2248
5662.2,448.1,1.2255
5666.1,448.09,1.2261
5670,448.09,1.2268
5673.9,448.08,1.2274
5677.8,448.08,1.2281
5681.7,448.07,1.2287
5685.6,448.07,1.2294
5689.5,448.06,1.23
5693.4,448.06,1.2307
5697.3,448.05,1.2313
5701.2,448.05,1.232
5705.1,448.04,1.2326
5709,448.04,1.2333
5713,448.03,1.2339
5716.9,448.03,1.2346
5720.8,448.02,1.2352
5724.7,448.02,1.2359
5728.7,448.01,1.2366
5732.6,448.01,1.2372
5736.5,448,1.2379
5740.4,448,1.2385
5744.4,447.99,1.2392
5748.3,447.99,1.2399
5752.3,447.98,1.2405
5756.2,447.98,1.2412
5760.1,447.97,1.2418
5764.1,447.97,1.2425
5768,447.96,1.2432
5772,447.96,1.2438
5775.9,447.95,1.2445
5779.9,447.95,1.2452
5783.8,447.94,1.2458
5787.8,447.94,1.2465
5791.7,447.93,1.2472
5795.7,447.93,1.2478
5799.7,447.92,1.2485
5803.6,447.92,1.2492
5807.6,447.91,1.2498
5811.5,447.91,1.2505
5815.5,447.9,1.2512
5819.5,447.9,1.2519
5823.5,447.89,1.2525
5827.4,447.89,1.2532
5831.4,447.88,1.2539
5835.4,447.88,1.2546
5839.4,447.87,1.2552
5843.3,447.87,1.2559
5847.3,447.86,1.2566
5851.3,447.86,1.2573
5855.3,447.85,1.2579
5859.3,447.85,1.2586
5863.3,447.84,1.2593
5867.3,447.84,1.26
5871.3,447.83,1.2606
5875.3,447.83,1.2613
5879.3,447.82,1.262
5883.3,447.82,1.2627
5887.3,447.81,1.2634
5891.3,447.81,1.264
5895.3,447.8,1.2647
5899.3,447.8,1.2654
5903.3,447.79,1.2661
5907.3,447.79,1.2668
5911.3,447.78,1.2675
5915.4,447.78,1.2682
5919.4,447.77,1.2688
5923.4,447.77,1.2695
5927.4,447.76,1.2702
5931.4,447.76,1.2709
5935.5,447.75,1.2716
5939.5,447.75,1.2723
5943.5,447.74,1.273
5947.6,447.74,1.2737
5951.6,447.73,1.2744
5955.6,447.73,1.275
5959.7,447.72,1.2757
5963.7,447.72,1.2764
5967.8,447.71,1.2771
5971.8,447.71,1.2778
5975.9,447.7,1.2785
5979.9,447.7,1.2792
5983.9,447.69,1.2799
5988,447.69,1.2806
5992.1,447.68,1.2813
5996.1,447.68,1.282
6000.2,447.67,1.2827
6004.2,447.67,1.2834
6008.3,447.66,1.2841
6012.4,447.66,1.2848
6016.4,447.65,1.2855
6020.5,447.65,1.2862
6024.6,447.64,1.2869
6028.6,447.64,1.2876
6032.7,447.63,1.2882
6036.8,447.63,1.2889
6040.9,447.62,1.2896
6045,447.62,1.2903
6049,447.61,1.291
6053.1,447.61,1.2918
6057.2,447.6,1.2925
6061.3,447.6,1.2932
6065.4,447.59,1.2939
6069.5,447.59,1.2946
6073.6,447.58,1.2953
6077.7,447.58,1.296
6081.8,447.57,1.2967
6085.9,447.57,1.2974
6090,447.56,1.2981
6094.1,447.56,1.2988
6098.2,447.55,1.2995
6102.3,447.55,1.3002
6106.4,447.54,1.3009
6110.5,447.54,1.3016
6114.6,447.53,1.3023
6118.7,447.53,1.303
6122.9,447.52,1.3037
6127,447.52,1.3045
6131.1,447.51,1.3052
6135.2,447.51,1.3059
6139.4,447.5,1.3066
6143.5,447.5,1.3073
6147.6,447.49,1.308
6151.8,447.49,1.3087
6155.9,447.48,1.3094
6160,447.48,1.3102
6164.2,447.47,1.3109
6168.3,447.46,1.3116
6172.5,447.46,1.3123
6176.6,447.45,1.313
6180.8,447.45,1.3137
6184.9,447.44,1.3145
6189.1,447.44,1.3152
6193.2,447.43,1.3159
6197.4,447.43,1.3166
6201.5,447.42,1.3173
6205.7,447.42,1.318
6209.8,447.41,1.3187
6214,447.41,1.3195
6218.2,447.4,1.3202
6222.3,447.4,1.3209
6226.5,447.39,1.3216
6230.7,447.39,1.3224
6234.9,447.38,1.3231
6239,447.38,1.3238
6243.2,447.37,1.3245
6247.4,447.37,1.3252
6251.6,447.36,1.326
6255.8,447.36,1.3267
6259.9,447.35,1.3274
6264.1,447.35,1.3281
6268.3,447.34,1.3288
6272.5,447.34,1.3296
6276.7,447.33,1.3303
6280.9,447.33,1.331
6285.1,447.32,1.3317
6289.3,447.31,1.3325
6293.5,447.31,1.3332
6297.7,447.3,1.3339
6301.9,447.3,1.3346
6306.1,447.29,1.3354
6310.3,447.29,1.3361
6314.6,447.28,1.3368
6318.8,447.28,1.3375
6323,447.27,1.3383
6327.2,447.27,1.339
6331.4,447.26,1.3397
6335.7,447.26,1.3405
6339.9,447.25,1.3412
6344.1,447.25,1.3419
6348.3,447.24,1.3427
6352.6,447.24,1.3434
6356.8,447.23,1.3441
6361,447.23,1.3449
6365.3,447.22,1.3456
6369.5,447.22,1.3463
6373.8,447.21,1.3471
6378,447.21,1.3478
6382.3,447.2,1.3485
6386.5,447.19,1.3493
6390.8,447.19,1.35
6395,447.18,1.3507
6399.3,447.18,1.3515
6403.5,447.17,1.3522
6407.8,447.17,1.3529
6412,447.16,1.3537
6416.3,447.16,1.3544
6420.6,447.15,1.3552
6424.8,447.15,1.3559
6429.1,447.14,1.3566
6433.4,447.14,1.3574
6437.7,447.13,1.3581
6441.9,447.13,1.3589
6446.2,447.12,1.3596
6450.5,447.12,1.3603
6454.8,447.11,1.3611
6459.1,447.11,1.3618
6463.4,447.1,1.3626
6467.6,447.09,1.3633
6471.9,447.09,1.3641
6476.2,447.08,1.3648
6480.5,447.08,1.3656
6484.8,447.07,1.3663
6489.1,447.07,1.3671
6493.4,447.06,1.3678
6497.7,447.06,1.3686
6502,447.05,1.3693
6506.3,447.05,1.3701
6510.6,447.04,1.3708
6515,447.04,1.3716
6519.3,447.03,1.3723
6523.6,447.03,1.3731
6527.9,447.02,1.3738
6532.2,447.01,1.3746
6536.6,447.01,1.3753
6540.9,447,1.3761
6545.2,447,1.3768
6549.5,446.99,1.3776
6553.9,446.99,1.3783
6558.2,446.98,1.3791
6562.5,446.98,1.3799
6566.9,446.97,1.3806
6571.2,446.97,1.3814
6575.6,446.96,1.3821
6579.9,446.96,1.3829
6584.2,446.95,1.3837
6588.6,446.95,1.3844
6592.9,446.94,1.3852
6597.3,446.93,1.3859
6601.7,446.93,1.3867
6606,446.92,1.3874
6610.4,446.92,1.3882
6614.7,446.91,1.389
6619.1,446.91,1.3897
6623.5,446.9,1.3905
6627.8,446.9,1.3912
6632.2,446.89,1.392
6636.6,446.89,1.3928
6640.9,446.88,1.3935
6645.3,446.88,1.3943
6649.7,446.87,1.3951
6654.1,446.87,1.3958
6658.5,446.86,1.3966
6662.9,446.85,1.3974
6667.2,446.85,1.3981
6671.6,446.84,1.3989
6676,446.84,1.3997
6680.4,446.83,1.4004
6684.8,446.83,1.4012
6689.2,446.82,1.402
6693.6,446.82,1.4027
6698,446.81,1.4035
6702.4,446.81,1.4043
6706.8,446.8,1.405
6711.2,446.79,1.4058
6715.6,446.79,1.4066
6720.1,446.78,1.4073
6724.5,446.78,1.4081
6728.9,446.77,1.4089
6733.3,446.77,1.4097
6737.7,446.76,1.4104
6742.2,446.76,1.4112
6746.6,446.75,1.412
6751,446.75,1.4128
6755.4,446.74,1.4136
6759.9,446.74,1.4143
6764.3,446.73,1.4151
6768.7,446.72,1.4159
6773.2,446.72,1.4167
6777.6,446.71,1.4175
6782.1,446.71,1.4182
6786.5,446.7,1.419
6791,446.7,1.4198
6795.4,446.69,1.4206
6799.9,446.69,1.4213
6804.3,446.68,1.4221
6808.8,446.68,1.4229
6813.2,446.67,1.4237
6817.7,446.66,1.4245
6822.2,446.66,1.4253
6826.6,446.65,1.4261
6831.1,446.65,1.4268
6835.6,446.64,1.4276
6840,446.64,1.4284
6844.5,446.63,1.4292
6849,446.63,1.43
6853.5,446.62,1.4308
6858,446.61,1.4315
6862.4,446.61,1.4323
6866.9,446.6,1.4331
6871.4,446.6,1.4339
6875.9,446.59,1.4347
6880.4,446.59,1.4355
6884.9,446.58,1.4363
6889.4,446.58,1.4371
6893.9,446.57,1.4379
6898.4,446.57,1.4387
6902.9,446.56,1.4394
6907.4,446.55,1.4402
6911.9,446.55,1.441
6916.4,446.54,1.4418
6920.9,446.54,1.4426
6925.4,446.53,1.4434
6930,446.53,1.4442
6934.5,446.52,1.445
6939,446.52,1.4458
6943.5,446.51,1.4466
6948.1,446.5,1.4474
6952.6,446.5,1.4482
6957.1,446.49,1.449
6961.6,446.49,1.4497
6966.2,446.48,1.4505
6970.7,446.48,1.4513
6975.3,446.47,1.4521
6979.8,446.47,1.4529
6984.3,446.46,1.4538
6988.9,446.45,1.4546
6993.4,446.45,1.4554
6998,446.44,1.4562
7002.5,446.44,1.457
7007.1,446.43,1.4578
7011.7,446.43,1.4586
7016.2,446.42,1.4594
7020.8,446.42,1.4602
7025.3,446.41,1.461
7029.9,446.4,1.4618
7034.5,446.4,1.4626
7039,446.39,1.4634
7043.6,446.39,1.4642
7048.2,446.38,1.4651
7052.8,446.38,1.4659
7057.4,446.37,1.4667
7061.9,446.37,1.4675
7066.5,446.36,1.4683
7071.1,446.35,1.4691
7075.7,446.35,1.4699
7080.3,446.34,1.4707
7084.9,446.34,1.4715
7089.5,446.33,1.4723
7094.1,446.33,1.4732
7098.7,446.32,1.474
7103.3,446.31,1.4748
7107.9,446.31,1.4756
7112.5,446.3,1.4764
7117.1,446.3,1.4772
7121.7,446.29,1.478
7126.3,446.29,1.4789
7130.9,446.28,1.4797
7135.6,446.28,1.4805
7140.2,446.27,1.4813
7144.8,446.26,1.4821
7149.4,446.26,1.483
7154.1,446.25,1.4838
7158.7,446.25,1.4846
7163.3,446.24,1.4854
7168,446.24,1.4862
7172.6,446.23,1.487
7177.2,446.22,1.4879
7181.9,446.22,1.4887
7186.5,446.21,1.4895
7191.2,446.21,1.4903
7195.8,446.2,1.4912
7200.5,446.2,1.492
7205.1,446.19,1.4928
7209.8,446.18,1.4936
7214.4,446.18,1.4945
7219.1,446.17,1.4953
7223.7,446.17,1.4961
7228.4,446.16,1.4969
7233.1,446.16,1.4978
7237.7,446.15,1.4986
7242.4,446.15,1.4994
7247.1,446.14,1.5003
7251.8,446.13,1.5011
7256.4,446.13,1.5019
7261.1,446.12,1.5028
7265.8,446.12,1.5036
7270.5,446.11,1.5044
7275.2,446.11,1.5053
7279.9,446.1,1.5061
7284.6,446.09,1.5069
7289.3,446.09,1.5078
7294,446.08,1.5086
7298.7,446.08,1.5094
7303.4,446.07,1.5103
7308.1,446.07,1.5111
7312.8,446.06,1.5119
7317.5,446.05,1.5128
7322.2,446.05,1.5136
7326.9,446.04,1.5145
7331.6,446.04,1.5153
7336.3,446.03,1.5161
7341.1,446.03,1.517
7345.8,446.02,1.5178
7350.5,446.01,1.5187
7355.2,446.01,1.5195
7360,446,1.5203
7364.7,446,1.5212
7369.4,445.99,1.522
7374.2,445.98,1.5229
7378.9,445.98,1.5237
7383.6,445.97,1.5246
7388.4,445.97,1.5254
7393.1,445.96,1.5263
7397.9,445.96,1.5271
7402.6,445.95,1.528
7407.4,445.94,1.5288
7412.1,445.94,1.5297
7416.9,445.93,1.5305
7421.7,445.93,1.5314
7426.4,445.92,1.5322
7431.2,445.92,1.5331
7435.9,445.91,1.5339
7440.7,445.9,1.5348
7445.5,445.9,1.5356
7450.3,445.89,1.5365
7455,445.89,1.5373
7459.8,445.88,1.5382
7464.6,445.87,1.539
7469.4,445.87,1.5399
7474.2,445.86,1.5408
7479,445.86,1.5416
7483.7,445.85,1.5425
7488.5,445.85,1.5433
7493.3,445.84,1.5442
7498.1,445.83,1.545
7502.9,445.83,1.5459
7507.7,445.82,1.5468
7512.5,445.82,1.5476
7517.4,445.81,1.5485
7522.2,445.8,1.5494
7527,445.8,1.5502
7531.8,445.79,1.5511
7536.6,445.79,1.5519
7541.4,445.78,1.5528
7546.2,445.78,1.5537
7551.1,445.77,1.5545
7555.9,445.76,1.5554
7560.7,445.76,1.5563
7565.6,445.75,1.5571
7570.4,445.75,1.558
7575.2,445.74,1.5589
7580.1,445.73,1.5597
7584.9,445.73,1.5606
7589.7,445.72,1.5615
7594.6,445.72,1.5624
7599.4,445.71,1.5632
7604.3,445.71,1.5641
7609.1,445.7,1.565
7614,445.69,1.5658
7618.9,445.69,1.5667
7623.7,445.68,1.5676
7628.6,445.68,1.5685
7633.4,445.67,1.5693
7638.3,445.66,1.5702
7643.2,445.66,1.5711
7648.1,445.65,1.572
7652.9,445.65,1.5728
7657.8,445.64,1.5737
7662.7,445.63,1.5746
7667.6,445.63,1.5755
7672.5,445.62,1.5764
7677.3,445.62,1.5772
7682.2,445.61,1.5781
7687.1,445.6,1.579
7692,445.6,1.5799
7696.9,445.59,1.5808
7701.8,445.59,1.5817
7706.7,445.58,1.5825
7711.6,445.58,1.5834
7716.5,445.57,1.5843
7721.4,445.56,1.5852
7726.3,445.56,1.5861
7731.3,445.55,1.5869
7736.2,445.55,1.5878
7741.1,445.54,1.5887
7746,445.53,1.5896
7750.9,445.53,1.5905
7755.9,445.52,1.5914
7760.8,445.52,1.5923
7765.7,445.51,1.5932
7770.7,445.5,1.594
7775.6,445.5,1.5949
7780.5,445.49,1.5958
7785.5,445.49,1.5967
7790.4,445.48,1.5976
7795.4,445.47,1.5985
7800.3,445.47,1.5994
7805.3,445.46,1.6003
7810.2,445.46,1.6012
7815.2,445.45,1.6021
7820.1,445.44,1.603
7825.1,445.44,1.6039
7830,445.43,1.6048
7835,445.43,1.6057
7840,445.42,1.6066
7844.9,445.41,1.6075
7849.9,445.41,1.6084
7854.9,445.4,1.6093
7859.9,445.4,1.6102
7864.8,445.39,1.6111
7869.8,445.38,1.612
7874.8,445.38,1.6129
7879.8,445.37,1.6138
7884.8,445.37,1.6147
7889.8,445.36,1.6156
7894.8,445.35,1.6165
7899.8,445.35,1.6174
7904.8,445.34,1.6183
7909.8,445.34,1.6192
7914.8,445.33,1.6201
7919.8,445.32,1.6211
7924.8,445.32,1.622
7929.8,445.31,1.6229
7934.8,445.31,1.6238
7939.8,445.3,1.6247
7944.9,445.29,1.6256
7949.9,445.29,1.6265
7954.9,445.28,1.6274
7959.9,445.27,1.6283
7965,445.27,1.6293
7970,445.26,1.6302
7975,445.26,1.6311
7980.1,445.25,1.632
7985.1,445.24,1.6329
7990.2,445.24,1.6338
7995.2,445.23,1.6348
8000.2,445.23,1.6357
8005.3,445.22,1.6366
8010.3,445.21,1.6375
8015.4,445.21,1.6384
8020.5,445.2,1.6394
8025.5,445.2,1.6403
8030.6,445.19,1.6412
8035.6,445.18,1.6421
8040.7,445.18,1.6431
8045.8,445.17,1.644
8050.9,445.17,1.6449
8055.9,445.16,1.6458
8061,445.15,1.6468
8066.1,445.15,1.6477
8071.2,445.14,1.6486
8076.3,445.13,1.6496
8081.3,445.13,1.6505
8086.4,445.12,1.6514
8091.5,445.12,1.6523
8096.6,445.11,1.6533
8101.7,445.1,1.6542
8106.8,445.1,1.6551
8111.9,445.09,1.6561
8117,445.09,1.657
8122.1,445.08,1.6579
8127.2,445.07,1.6588
8132.4,445.07,1.6598
8137.5,445.06,1.6607
8142.6,445.05,1.6617
8147.7,445.05,1.6626
8152.8,445.04,1.6635
8158,445.04,1.6645
8163.1,445.03,1.6654
8168.2,445.02,1.6663
8173.3,445.02,1.6673
8178.5,445.01,1.6682
8183.6,445.01,1.6692
8188.8,445,1.6701
8193.9,444.99,1.671
8199.1,444.99,1.672
8204.2,444.98,1.6729
8209.4,444.97,1.6739
8214.5,444.97,1.6748
8219.7,444.96,1.6757
8224.8,444.96,1.6767
8230,444.95,1.6776
8235.1,444.94,1.6786
8240.3,444.94,1.6795
8245.5,444.93,1.6805
8250.7,444.92,1.6814
8255.8,444.92,1.6824
8261,444.91,1.6833
8266.2,444.91,1.6843
8271.4,444.9,1.6852
8276.6,444.89,1.6862
8281.7,444.89,1.6871
8286.9,444.88,1.6881
8292.1,444.87,1.689
8297.3,444.87,1.69
8302.5,444.86,1.6909
8307.7,444.86,1.6919
8312.9,444.85,1.6928
8318.1,444.84,1.6938
8323.3,444.84,1.6948
8328.5,444.83,1.6957
8333.8,444.82,1.6967
8339,444.82,1.6976
8344.2,444.81,1.6986
8349.4,444.81,1.6995
8354.6,444.8,1.7005
8359.9,444.79,1.7015
8365.1,444.79,1.7024
8370.3,444.78,1.7034
8375.6,444.77,1.7044
8380.8,444.77,1.7053
8386,444.76,1.7063
8391.3,444.76,1.7072
8396.5,444.75,1.7082
8401.8,444.74,1.7092
8407,444.74,1.7102
8412.3,444.73,1.7111
8417.5,444.72,1.7121
8422.8,444.72,1.7131
8428,444.71,1.714
8433.3,444.7,1.715
8438.6,444.7,1.716
8443.8,444.69,1.7169
8449.1,444.69,1.7179
8454.4,444.68,1.7189
8459.7,444.67,1.7199
8464.9,444.67,1.7208
8470.2,444.66,1.7218
8475.5,444.65,1.7228
8480.8,444.65,1.7238
8486.1,444.64,1.7247
8491.4,444.63,1.7257
8496.7,444.63,1.7267
8502,444.62,1.7277
8507.3,444.62,1.7286
8512.6,444.61,1.7296
8517.9,444.6,1.7306
8523.2,444.6,1.7316
8528.5,444.59,1.7326
8533.8,444.58,1.7336
8539.1,444.58,1.7345
8544.4,444.57,1.7355
8549.7,444.56,1.7365
8555.1,444.56,1.7375
8560.4,444.55,1.7385
8565.7,444.55,1.7394
8571.1,444.54,1.7404
8576.4,444.53,1.7414
8581.7,444.53,1.7424
8587.1,444.52,1.7434
8592.4,444.51,1.7444
8597.8,444.51,1.7454
8603.1,444.5,1.7464
8608.5,444.49,1.7474
8613.8,444.49,1.7484
8619.2,444.48,1.7493
8624.5,444.47,1.7503
8629.9,444.47,1.7513
8635.2,444.46,1.7523
8640.6,444.46,1.7533
8646,444.45,1.7543
8651.3,444.44,1.7553
8656.7,444.44,1.7563
8662.1,444.43,1.7573
8667.5,444.42,1.7583
8672.9,444.42,1.7593
8678.2,444.41,1.7603
8683.6,444.4,1.7613
8689,444.4,1.7623
8694.4,444.39,1.7633
8699.8,444.38,1.7643
8705.2,444.38,1.7653
8710.6,444.37,1.7663
8716,444.36,1.7673
8721.4,444.36,1.7683
8726.8,444.35,1.7693
8732.2,444.35,1.7703
8737.7,444.34,1.7713
8743.1,444.33,1.7724
8748.5,444.33,1.7734
8753.9,444.32,1.7744
8759.3,444.31,1.7754
8764.8,444.31,1.7764
8770.2,444.3,1.7774
8775.6,444.29,1.7784
8781.1,444.29,1.7794
8786.5,444.28,1.7804
8792,444.27,1.7814
8797.4,444.27,1.7825
8802.8,444.26,1.7835
8808.3,444.25,1.7845
8813.7,444.25,1.7855
8819.2,444.24,1.7865
8824.7,444.23,1.7876
8830.1,444.23,1.7886
8835.6,444.22,1.7896
8841,444.22,1.7906
8846.5,444.21,1.7916
8852,444.2,1.7927
8857.5,444.2,1.7937
8862.9,444.19,1.7947
8868.4,444.18,1.7957
8873.9,444.18,1.7968
8879.4,444.17,1.7978
8884.9,444.16,1.7988
8890.4,444.16,1.7998
8895.9,444.15,1.8009
8901.4,444.14,1.8019
8906.9,444.14,1.8029
8912.4,444.13,1.8039
8917.9,444.12,1.805
8923.4,444.12,1.806
8928.9,444.11,1.807
8934.4,444.1,1.8081
8939.9,444.1,1.8091
8945.4,444.09,1.8101
8950.9,444.08,1.8112
8956.5,444.08,1.8122
8962,444.07,1.8132
8967.5,444.06,1.8143
8973.1,444.06,1.8153
8978.6,444.05,1.8163
8984.1,444.04,1.8174
8989.7,444.04,1.8184
8995.2,444.03,1.8195
9000.8,444.02,1.8205
9006.3,444.02,1.8215
9011.9,444.01,1.8226
9017.4,444,1.8236
9023,444,1.8247
9028.5,443.99,1.8257
9034.1,443.98,1.8268
9039.7,443.98,1.8278
9045.2,443.97,1.8289
9050.8,443.96,1.8299
9056.4,443.96,1.831
9062,443.95,1.832
9067.5,443.94,1.8331
9073.1,443.94,1.8341
9078.7,443.93,1.8352
9084.3,443.92,1.8362
9089.9,443.92,1.8373
9095.5,443.91,1.8383
9101.1,443.9,1.8394
9106.7,443.9,1.8404
9112.3,443.89,1.8415
9117.9,443.88,1.8425
9123.5,443.88,1.8436
9129.1,443.87,1.8446
9134.7,443.86,1.8457
9140.3,443.86,1.8468
9145.9,443.85,1.8478
9151.6,443.84,1.8489
9157.2,443.84,1.85
9162.8,443.83,1.851
9168.4,443.82,1.8521
9174.1,443.82,1.8531
9179.7,443.81,1.8542
9185.3,443.8,1.8553
9191,443.8,1.8563
9196.6,443.79,1.8574
9202.3,443.78,1.8585
9207.9,443.78,1.8595
9213.6,443.77,1.8606
9219.2,443.76,1.8616
9224.9,443.76,1.8627
9230.6,443.75,1.8638
9236.2,443.74,1.8649
9241.9,443.74,1.8659
9247.6,443.73,1.867
9253.2,443.72,1.8681
9258.9,443.71,1.8691
9264.6,443.71,1.8702
9270.3,443.7,1.8713
9275.9,443.69,1.8724
9281.6,443.69,1.8734
9287.3,443.68,1.8745
9293,443.67,1.8756
9298.7,443.67,1.8767
9304.4,443.66,1.8777
9310.1,443.65,1.8788
9315.8,443.65,1.8799
9321.5,443.64,1.881
9327.2,443.63,1.8821
9332.9,443.63,1.8831
9338.6,443.62,1.8842
9344.4,443.61,1.8853
9350.1,443.61,1.8864
9355.8,443.6,1.8875
9361.5,443.59,1.8886
9367.3,443.59,1.8897
9373,443.58,1.8908
9378.7,443.57,1.8918
9384.5,443.56,1.8929
9390.2,443.56,1.894
9396,443.55,1.8951
9401.7,443.54,1.8962
9407.4,443.54,1.8973
9413.2,443.53,1.8984
9419,443.52,1.8995
9424.7,443.52,1.9006
9430.5,443.51,1.9017
9436.2,443.5,1.9027
9442,443.5,1.9038
9447.8,443.49,1.9049
9453.5,443.48,1.906
9459.3,443.48,1.9071
9465.1,443.47,1.9082
9470.9,443.46,1.9093
9476.7,443.45,1.9104
9482.5,443.45,1.9115
9488.2,443.44,1.9126
9494,443.43,1.9137
9499.8,443.43,1.9148
9505.6,443.42,1.9159
9511.4,443.41,1.917
9517.2,443.41,1.9181
9523,443.4,1.9192
9528.9,443.39,1.9203
9534.7,443.39,1.9215
9540.5,443.38,1.9226
9546.3,443.37,1.9237
9552.1,443.36,1.9248
9557.9,443.36,1.9259
9563.8,443.35,1.927
9569.6,443.34,1.9281
9575.4,443.34,1.9292
9581.3,443.33,1.9303
9587.1,443.32,1.9315
9593,443.32,1.9326
9598.8,443.31,1.9337
9604.7,443.3,1.9348
9610.5,443.29,1.9359
9616.4,443.29,1.9371
9622.2,443.28,1.9382
9628.1,443.27,1.9393
9633.9,443.27,1.9404
9639.8,443.26,1.9415
9645.7,443.25,1.9427
9651.5,443.25,1.9438
9657.4,443.24,1.9449
9663.3,443.23,1.946
9669.2,443.22,1.9472
9675.1,443.22,1.9483
9680.9,443.21,1.9494
9686.8,443.2,1.9505
9692.7,443.2,1.9517
9698.6,443.19,1.9528
9704.5,443.18,1.9539
9710.4,443.18,1.9551
9716.3,443.17,1.9562
9722.2,443.16,1.9573
9728.1,443.15,1.9585
9734.1,443.15,1.9596
9740,443.14,1.9607
9745.9,443.13,1.9619
9751.8,443.13,1.963
9757.7,443.12,1.9641
9763.7,443.11,1.9653
9769.6,443.1,1.9664
9775.5,443.1,1.9675
9781.5,443.09,1.9687
9787.4,443.08,1.9698
9793.3,443.08,1.971
9799.3,443.07,1.9721
9805.2,443.06,1.9733
9811.2,443.06,1.9744
9817.1,443.05,1.9756
9823.1,443.04,1.9767
9829.1,443.03,1.9778
9835,443.03,1.979
9841,443.02,1.9801
9847,443.01,1.9813
9852.9,443.01,1.9824
9858.9,443,1.9836
9864.9,442.99,1.9847
9870.9,442.98,1.9859
9876.9,442.98,1.987
9882.8,442.97,1.9882
9888.8,442.96,1.9894
9894.8,442.96,1.9905
9900.8,442.95,1.9917
9906.8,442.94,1.9928
9912.8,442.93,1.994
9918.8,442.93,1.9951
9924.8,442.92,1.9963
9930.9,442.91,1.9974
9936.9,442.91,1.9986
9942.9,442.9,1.9998
9948.9,442.89,2.0009
9954.9,442.88,2.0021
9961,442.88,2.0033
9967,442.87,2.0044
9973,442.86,2.0056
9979.1,442.86,2.0068
9985.1,442.85,2.0079
9991.1,442.84,2.0091
9997.2,442.83,2.0103
10003,442.83,2.0114
10009,442.82,2.0126
10015,442.81,2.0138
10021,442.8,2.015
10027,442.8,2.0161
10034,442.79,2.0173
10040,442.78,2.0185
10046,442.78,2.0196
10052,442.77,2.0208
10058,442.76,2.022
10064,442.75,2.0232
10070,442.75,2.0243
10076,442.74,2.0255
10082,442.73,2.0267
10088,442.73,2.0279
10094,442.72,2.0291
10100,442.71,2.0302
10107,442.7,2.0314
10113,442.7,2.0326
10119,442.69,2.0338
10125,442.68,2.035
10131,442.67,2.0362
10137,442.67,2.0374
10143,442.66,2.0386
10149,442.65,2.0397
10155,442.65,2.0409
10162,442.64,2.0421
10168,442.63,2.0433
10174,442.62,2.0445
10180,442.62,2.0457
10186,442.61,2.0469
10192,442.6,2.0481
10198,442.59,2.0493
10205,442.59,2.0505
10211,442.58,2.0517
10217,442.57,2.0529
10223,442.56,2.0541
10229,442.56,2.0553
10235,442.55,2.0565
10242,442.54,2.0577
10248,442.54,2.0589
10254,442.53,2.0601
10260,442.52,2.0613
10266,442.51,2.0625
10272,442.51,2.0637
10279,442.5,2.0649
10285,442.49,2.0661
10291,442.48,2.0673
10297,442.48,2.0685
10303,442.47,2.0697
10310,442.46,2.0709
10316,442.45,2.0722
10322,442.45,2.0734
10328,442.44,2.0746
10334,442.43,2.0758
10341,442.42,2.077
10347,442.42,2.0782
10353,442.41,2.0795
10359,442.4,2.0807
10366,442.39,2.0819
10372,442.39,2.0831
10378,442.38,2.0844
10384,442.37,2.0856
10390,442.37,2.0868
10397,442.36,2.088
10403,442.35,2.0892
10409,442.34,2.0905
10415,442.34,2.0917
10422,442.33,2.0929
10428,442.32,2.0942
10434,442.31,2.0954
10441,442.31,2.0966
10447,442.3,2.0979
10453,442.29,2.0991
10459,442.28,2.1003
10466,442.28,2.1016
10472,442.27,2.1028
10478,442.26,2.104
10485,442.25,2.1053
10491,442.25,2.1065
10497,442.24,2.1077
10503,442.23,2.109
10510,442.22,2.1102
10516,442.22,2.1115
10522,442.21,2.1127
10529,442.2,2.114
10535,442.19,2.1152
10541,442.19,2.1165
10548,442.18,2.1177
10554,442.17,2.1189
10560,442.16,2.1202
10567,442.16,2.1214
10573,442.15,2.1227
10579,442.14,2.1239
10586,442.13,2.1252
10592,442.13,2.1265
10598,442.12,2.1277
10605,442.11,2.129
10611,442.1,2.1302
10617,442.09,2.1315
10624,442.09,2.1327
10630,442.08,2.134
10636,442.07,2.1352
10643,442.06,2.1365
10649,442.06,2.1378
10656,442.05,2.139
10662,442.04,2.1403
10668,442.03,2.1416
10675,442.03,2.1428
10681,442.02,2.1441
10687,442.01,2.1453
10694,442,2.1466
10700,442,2.1479
10707,441.99,2.1491
10713,441.98,2.1504
10720,441.97,2.1517
10726,441.97,2.153
10732,441.96,2.1542
10739,441.95,2.1555
10745,441.94,2.1568
10752,441.94,2.158
10758,441.93,2.1593
10764,441.92,2.1606
10771,441.91,2.1619
10777,441.9,2.1631
10784,441.9,2.1644
10790,441.89,2.1657
10797,441.88,2.167
10803,441.87,2.1683
10810,441.87,2.1695
10816,441.86,2.1708
10822,441.85,2.1721
10829,441.84,2.1734
10835,441.84,2.1747
10842,441.83,2.176
10848,441.82,2.1772
10855,441.81,2.1785
10861,441.8,2.1798
10868,441.8,2.1811
10874,441.79,2.1824
10881,441.78,2.1837
10887,441.77,2.185
10894,441.77,2.1863
10900,441.76,2.1876
